,CR GNN,CR MLP,CR LSTM,Date
382,108.1288176643358,115.9216932020712,114.01890257760279,2019-04-24
383,108.66724214159863,116.05302580724049,113.65483284678659,2019-04-25
384,108.93390472279422,116.05136650766981,113.44473370065997,2019-04-26
385,108.19009635117962,115.94548778689797,113.89090958981139,2019-04-27
386,108.19071742149345,115.94571751734028,113.8595310033416,2019-04-28
387,108.72458789893903,116.05647610246442,113.48508635310182,2019-04-29
388,108.99162669916107,116.04501467139498,113.26773799165373,2019-04-30
389,109.16887314721859,116.01195614024975,113.10602640591662,2019-05-01
390,109.33178711397635,115.96329916715536,112.95004287376709,2019-05-02
391,110.24647162747713,115.3519269819509,112.17905238478278,2019-05-03
392,110.57778588079177,114.98263797480506,111.846522255664,2019-05-04
393,110.72615052111124,114.79072002207107,111.6688679573911,2019-05-05
394,110.5639515499371,114.99968873120443,111.77578862926593,2019-05-06
395,111.80280926854196,112.88361493396086,110.49386921882322,2019-05-07
396,112.06518070923019,112.27599549791618,110.15279020363708,2019-05-08
397,111.60031173034626,113.31334938730473,110.6217540764509,2019-05-09
398,111.62419938515778,113.26441150349346,110.55037421683306,2019-05-10
399,112.25868712224116,111.79040786934719,109.78412553422679,2019-05-11
400,111.64290246558508,113.22576875174661,110.43816023633116,2019-05-12
401,111.08040295922241,114.26444997440561,110.9799008138636,2019-05-13
402,111.30871141695924,113.873403631262,110.70174485388407,2019-05-14
403,112.07213598084094,112.259096929667,109.81346027966367,2019-05-15
404,112.06547678346215,112.27527699305142,109.7734723512042,2019-05-16
405,111.95474958563206,112.53880193102088,109.85443201213407,2019-05-17
406,111.78405887310497,112.9248307203284,110.00159914235836,2019-05-18
407,112.23642820867185,111.84790311671178,109.42526851921086,2019-05-19
408,112.85797373483,110.0785576782795,108.58289165497601,2019-05-20
409,112.98067357392671,109.68820745895529,108.36550235551825,2019-05-21
410,112.67485636338716,110.63559801065298,108.72574838378763,2019-05-22
411,112.21022331103569,111.91504275927191,109.26201969343659,2019-05-23
412,112.24786292672948,111.8184204784269,109.16706176164817,2019-05-24
413,112.2325817990643,111.85779510579863,109.13663800263214,2019-05-25
